Date,Time,Locality_Name,Crime_Type
2020-01-03 15:00:00,03-01-2020 23:24,Shamshabad,ILLEGAL POSSESSION
2020-01-03 16:00:00,04-01-2020 00:59,Musheerabad,DRUG OFFENSE
2020-01-03 17:00:00,04-01-2020 11:49,L B Nagar,EXTORTION
2020-01-03 18:00:00,04-01-2020 17:48,Begum Bazar,CYBERCRIME
2020-01-03 19:00:00,04-01-2020 08:46,Musheerabad,BURGLARY
2020-01-03 20:00:00,04-01-2020 02:24,Hyderguda,PUBLIC INTOXICATION
2020-01-03 21:00:00,04-01-2020 17:23,Musheerabad,FIREARM OFFENSE
2020-01-03 22:00:00,04-01-2020 00:50,Kachiguda,FIREARM OFFENSE
2020-01-03 23:00:00,04-01-2020 11:34,Nampally,ARSON
2020-01-04 00:00:00,04-01-2020 07:58,L B Nagar,BURGLARY
2020-01-04 01:00:00,04-01-2020 03:01,Charminar,ARSON
2020-01-04 02:00:00,05-01-2020 01:45,Ameerpet,CYBERCRIME
2020-01-04 03:00:00,04-01-2020 20:57,Falaknuma,VANDALISM
2020-01-04 04:00:00,04-01-2020 14:30,Madhapur,KIDNAPPING
2020-01-04 05:00:00,04-01-2020 17:02,Ibrahimpatnam,IDENTITY THEFT
2020-01-04 06:00:00,05-01-2020 03:40,Madhapur,ROBBERY
2020-01-04 07:00:00,04-01-2020 23:54,Musheerabad,VEHICLE - STOLEN
2020-01-04 08:00:00,04-01-2020 23:33,Falaknuma,ASSAULT
2020-01-04 09:00:00,04-01-2020 15:37,Jahanuma,FRAUD
2020-01-04 10:00:00,05-01-2020 09:17,Madhapur,ROBBERY
2020-01-04 11:00:00,05-01-2020 06:13,Kachiguda,TRAFFIC VIOLATION
2020-01-04 12:00:00,04-01-2020 12:40,L B Nagar,PUBLIC INTOXICATION
2020-01-04 13:00:00,05-01-2020 06:42,Madhapur,VANDALISM
2020-01-04 14:00:00,04-01-2020 16:00,L B Nagar,PUBLIC INTOXICATION
2020-01-04 15:00:00,04-01-2020 22:04,Hi-Tech City,ROBBERY
2020-01-04 16:00:00,04-01-2020 21:21,Madhapur,HOMICIDE
2020-01-04 17:00:00,05-01-2020 06:38,Hyderguda,VEHICLE - STOLEN
2020-01-04 18:00:00,05-01-2020 17:15,Kachiguda,BURGLARY
2020-01-04 19:00:00,05-01-2020 09:21,Jahanuma,CYBERCRIME
2020-01-04 20:00:00,05-01-2020 07:36,Hyderguda,FRAUD
2020-01-04 21:00:00,05-01-2020 08:12,Madhapur,SEXUAL ASSAULT
2020-01-04 22:00:00,04-01-2020 22:16,Kukatpally,PUBLIC INTOXICATION
2020-01-04 23:00:00,05-01-2020 14:10,Hyderguda,DRUG OFFENSE
2020-01-05 00:00:00,05-01-2020 15:36,Nampally,IDENTITY THEFT
2020-01-05 01:00:00,05-01-2020 02:56,Kachiguda,SEXUAL ASSAULT
2020-01-05 02:00:00,05-01-2020 14:38,Hyderguda,IDENTITY THEFT
2020-01-05 03:00:00,05-01-2020 06:41,Hyderguda,DRUG OFFENSE
2020-01-05 04:00:00,05-01-2020 14:02,Ameerpet,PUBLIC INTOXICATION
2020-01-05 05:00:00,05-01-2020 22:34,Madhapur,EXTORTION
2020-01-05 06:00:00,05-01-2020 17:43,Kanchanbagh,ASSAULT
2020-01-05 07:00:00,05-01-2020 14:13,Madhapur,VEHICLE - STOLEN
2020-01-05 08:00:00,05-01-2020 19:30,L B Nagar,FRAUD
2020-01-05 09:00:00,05-01-2020 10:05,Hyderguda,VEHICLE - STOLEN
2020-01-05 10:00:00,05-01-2020 17:21,L B Nagar,DOMESTIC VIOLENCE
2020-01-05 11:00:00,06-01-2020 09:35,Basheerbagh,ARSON
2020-01-05 12:00:00,06-01-2020 00:07,Charminar,PUBLIC INTOXICATION
2020-01-05 13:00:00,05-01-2020 23:32,Falaknuma,ARSON
2020-01-05 14:00:00,05-01-2020 23:24,Musheerabad,ILLEGAL POSSESSION
2020-01-05 15:00:00,06-01-2020 07:02,Falaknuma,COUNTERFEITING
2020-01-05 16:00:00,06-01-2020 14:55,Basheerbagh,HOMICIDE
2020-01-05 17:00:00,06-01-2020 06:42,Saidabad,EXTORTION
2020-01-05 18:00:00,06-01-2020 08:02,Patancheru,FIREARM OFFENSE
2020-01-05 19:00:00,06-01-2020 06:26,Madhapur,BURGLARY
2020-01-05 20:00:00,06-01-2020 10:15,L B Nagar,VANDALISM
2020-01-05 21:00:00,06-01-2020 02:16,Falaknuma,DRUG OFFENSE
2020-01-05 22:00:00,05-01-2020 23:48,Madhapur,ILLEGAL POSSESSION
2020-01-05 23:00:00,06-01-2020 07:04,Patancheru,TRAFFIC VIOLATION
2020-01-06 00:00:00,06-01-2020 12:16,Ameerpet,VEHICLE - STOLEN
2020-01-06 01:00:00,06-01-2020 22:59,Falaknuma,KIDNAPPING
2020-01-06 02:00:00,07-01-2020 00:00,Begum Bazar,VANDALISM
2020-01-06 03:00:00,06-01-2020 06:56,Lingampally,SEXUAL ASSAULT
2020-01-06 04:00:00,06-01-2020 19:19,Patancheru,FRAUD
2020-01-06 05:00:00,06-01-2020 05:15,Patancheru,ASSAULT
2020-01-06 06:00:00,07-01-2020 00:44,Saidabad,FIREARM OFFENSE
2020-01-06 07:00:00,07-01-2020 02:17,gachibowli,IDENTITY THEFT
2020-01-06 08:00:00,06-01-2020 12:39,Kanchanbagh,SHOPLIFTING
2020-01-06 09:00:00,06-01-2020 14:55,gachibowli,ROBBERY
2020-01-06 10:00:00,06-01-2020 19:26,Afzalgunj,ARSON
2020-01-06 11:00:00,07-01-2020 06:55,L B Nagar,IDENTITY THEFT
2020-01-06 12:00:00,06-01-2020 19:17,Basheerbagh,HOMICIDE
2020-01-06 13:00:00,07-01-2020 00:56,L B Nagar,ILLEGAL POSSESSION
2020-01-06 14:00:00,07-01-2020 07:26,Falaknuma,VANDALISM
2020-01-06 15:00:00,07-01-2020 02:16,Falaknuma,FRAUD
2020-01-06 16:00:00,07-01-2020 01:01,Ameerpet,PUBLIC INTOXICATION
2020-01-06 17:00:00,06-01-2020 20:11,Madhapur,ASSAULT
2020-01-06 18:00:00,07-01-2020 07:11,Kanchanbagh,KIDNAPPING
2020-01-06 19:00:00,07-01-2020 01:17,Jahanuma,CYBERCRIME
2020-01-06 20:00:00,07-01-2020 14:13,Falaknuma,DOMESTIC VIOLENCE
2020-01-06 21:00:00,07-01-2020 06:34,Madhapur,FIREARM OFFENSE
2020-01-06 22:00:00,07-01-2020 12:37,Madhapur,ILLEGAL POSSESSION
2020-01-06 23:00:00,07-01-2020 16:49,Uppal,ASSAULT
2020-01-07 00:00:00,07-01-2020 03:38,Lingampally,IDENTITY THEFT
2020-01-07 01:00:00,07-01-2020 16:44,Kachiguda,PUBLIC INTOXICATION
2020-01-07 02:00:00,07-01-2020 18:49,Malakpet,CYBERCRIME
2020-01-07 03:00:00,07-01-2020 22:27,Basheerbagh,COUNTERFEITING
2020-01-07 04:00:00,08-01-2020 01:09,Afzalgunj,IDENTITY THEFT
2020-01-07 05:00:00,07-01-2020 11:19,Pathargatti,SHOPLIFTING
2020-01-07 06:00:00,07-01-2020 13:59,Begum Bazar,DRUG OFFENSE
2020-01-07 07:00:00,07-01-2020 16:17,Basheerbagh,ILLEGAL POSSESSION
2020-01-07 08:00:00,07-01-2020 17:21,Falaknuma,IDENTITY THEFT
2020-01-07 09:00:00,07-01-2020 19:49,Charminar,KIDNAPPING
2020-01-07 10:00:00,07-01-2020 19:37,Basheerbagh,DOMESTIC VIOLENCE
2020-01-07 11:00:00,07-01-2020 12:05,Patancheru,DOMESTIC VIOLENCE
2020-01-07 12:00:00,07-01-2020 13:48,Hyderguda,COUNTERFEITING
2020-01-07 13:00:00,08-01-2020 03:32,Ameerpet,HOMICIDE
2020-01-07 14:00:00,08-01-2020 06:49,Falaknuma,VEHICLE - STOLEN
2020-01-07 15:00:00,08-01-2020 14:26,Kachiguda,ASSAULT
2020-01-07 16:00:00,08-01-2020 09:21,Malakpet,COUNTERFEITING
2020-01-07 17:00:00,07-01-2020 17:22,Saidabad,CYBERCRIME
2020-01-07 18:00:00,08-01-2020 09:50,Patancheru,SHOPLIFTING
2020-01-07 19:00:00,08-01-2020 02:04,Patancheru,ARSON
2020-01-07 20:00:00,08-01-2020 06:07,gachibowli,SEXUAL ASSAULT
2020-01-07 21:00:00,08-01-2020 00:42,Ameerpet,VANDALISM
2020-01-07 22:00:00,08-01-2020 05:25,Falaknuma,VANDALISM
2020-01-07 23:00:00,08-01-2020 02:01,Falaknuma,FRAUD
2020-01-08 00:00:00,08-01-2020 00:14,L B Nagar,DRUG OFFENSE
2020-01-08 01:00:00,08-01-2020 05:22,Kishan Bagh,TRAFFIC VIOLATION
2020-01-08 02:00:00,08-01-2020 18:43,Afzalgunj,COUNTERFEITING
2020-01-08 03:00:00,09-01-2020 01:57,Jahanuma,TRAFFIC VIOLATION
2020-01-08 04:00:00,08-01-2020 13:20,Hyderguda,SEXUAL ASSAULT
2020-01-08 05:00:00,09-01-2020 01:34,Ibrahimpatnam,DRUG OFFENSE
2020-01-08 06:00:00,08-01-2020 10:27,Saidabad,ROBBERY
2020-01-08 07:00:00,08-01-2020 22:06,L B Nagar,BURGLARY
2020-01-08 08:00:00,09-01-2020 02:25,Charminar,FIREARM OFFENSE
2020-01-08 09:00:00,08-01-2020 16:59,Madhapur,ILLEGAL POSSESSION
2020-01-08 10:00:00,09-01-2020 07:31,Afzalgunj,FRAUD
2020-01-08 11:00:00,09-01-2020 02:31,Patancheru,DOMESTIC VIOLENCE
2020-01-08 12:00:00,09-01-2020 07:34,Basheerbagh,TRAFFIC VIOLATION
2020-01-08 13:00:00,09-01-2020 12:16,Madhapur,CYBERCRIME
2020-01-08 14:00:00,08-01-2020 17:18,Ameerpet,SEXUAL ASSAULT
2020-01-08 15:00:00,08-01-2020 23:28,Hyderguda,SEXUAL ASSAULT
2020-01-08 16:00:00,08-01-2020 17:27,Madhapur,FRAUD
2020-01-08 17:00:00,09-01-2020 08:32,Basheerbagh,FRAUD
2020-01-08 18:00:00,09-01-2020 10:28,Falaknuma,VANDALISM
2020-01-08 19:00:00,09-01-2020 18:53,Nampally,IDENTITY THEFT
2020-01-08 20:00:00,09-01-2020 03:24,Hyderguda,EXTORTION
2020-01-08 21:00:00,08-01-2020 21:24,Charminar,CYBERCRIME
2020-01-08 22:00:00,09-01-2020 15:53,Charminar,KIDNAPPING
2020-01-08 23:00:00,09-01-2020 20:39,Falaknuma,IDENTITY THEFT
2020-01-09 00:00:00,09-01-2020 05:28,gachibowli,PUBLIC INTOXICATION
2020-01-09 01:00:00,09-01-2020 04:00,Jahanuma,DOMESTIC VIOLENCE
2020-01-09 02:00:00,09-01-2020 08:16,Falaknuma,ILLEGAL POSSESSION
2020-01-09 03:00:00,10-01-2020 00:18,L B Nagar,DOMESTIC VIOLENCE
2020-01-09 04:00:00,09-01-2020 15:55,Ameerpet,PUBLIC INTOXICATION
2020-01-09 05:00:00,09-01-2020 10:20,Hyderguda,EXTORTION
2020-01-09 06:00:00,09-01-2020 21:01,Falaknuma,ARSON
2020-01-09 07:00:00,10-01-2020 02:06,Nacharam,HOMICIDE
2020-01-09 08:00:00,10-01-2020 04:27,Secunderabad,COUNTERFEITING
2020-01-09 09:00:00,09-01-2020 18:52,Nampally,FRAUD
2020-01-09 10:00:00,09-01-2020 12:58,Madhapur,DRUG OFFENSE
2020-01-09 11:00:00,09-01-2020 13:00,L B Nagar,KIDNAPPING
2020-01-09 12:00:00,10-01-2020 02:34,Hyderguda,SHOPLIFTING
2020-01-09 13:00:00,09-01-2020 23:51,Shamshabad,VEHICLE - STOLEN
2020-01-09 14:00:00,10-01-2020 12:37,Basheerbagh,COUNTERFEITING
2020-01-09 15:00:00,09-01-2020 20:15,Pathargatti,ASSAULT
2020-01-09 16:00:00,09-01-2020 17:29,Hyderguda,EXTORTION
2020-01-09 17:00:00,10-01-2020 06:07,Kachiguda,PUBLIC INTOXICATION
2020-01-09 18:00:00,09-01-2020 20:05,Begum Bazar,COUNTERFEITING
2020-01-09 19:00:00,10-01-2020 14:15,Falaknuma,FIREARM OFFENSE
2020-01-09 20:00:00,10-01-2020 07:00,Kachiguda,IDENTITY THEFT
2020-01-09 21:00:00,10-01-2020 02:45,Basheerbagh,VEHICLE - STOLEN
2020-01-09 22:00:00,10-01-2020 00:56,Falaknuma,SEXUAL ASSAULT
2020-01-09 23:00:00,10-01-2020 09:23,Ameerpet,SHOPLIFTING
2020-01-10 00:00:00,10-01-2020 05:32,Kachiguda,COUNTERFEITING
2020-01-10 01:00:00,10-01-2020 23:36,Saidabad,FRAUD
2020-01-10 02:00:00,10-01-2020 08:44,Patancheru,TRAFFIC VIOLATION
2020-01-10 03:00:00,10-01-2020 17:27,Nampally,BURGLARY
2020-01-10 04:00:00,11-01-2020 03:16,Kachiguda,VEHICLE - STOLEN
2020-01-10 05:00:00,10-01-2020 05:29,Lingampally,KIDNAPPING
2020-01-10 06:00:00,10-01-2020 19:37,Basheerbagh,FRAUD
2020-01-10 07:00:00,10-01-2020 23:31,Charminar,ROBBERY
2020-01-10 08:00:00,11-01-2020 00:10,Basheerbagh,CYBERCRIME
2020-01-10 09:00:00,10-01-2020 15:46,Saidabad,HOMICIDE
2020-01-10 10:00:00,10-01-2020 23:35,Madhapur,VANDALISM
2020-01-10 11:00:00,11-01-2020 01:56,Patancheru,COUNTERFEITING
2020-01-10 12:00:00,11-01-2020 04:03,Jahanuma,VEHICLE - STOLEN
2020-01-10 13:00:00,11-01-2020 08:27,Ameerpet,VANDALISM
2020-01-10 14:00:00,10-01-2020 22:47,Patancheru,IDENTITY THEFT
2020-01-10 15:00:00,11-01-2020 04:38,Pathargatti,ARSON
2020-01-10 16:00:00,10-01-2020 19:09,Madhapur,HOMICIDE
2020-01-10 17:00:00,11-01-2020 03:46,Kachiguda,ASSAULT
2020-01-10 18:00:00,10-01-2020 20:30,Madhapur,TRAFFIC VIOLATION
2020-01-10 19:00:00,10-01-2020 22:34,Lingampally,ARSON
2020-01-10 20:00:00,11-01-2020 06:53,Musheerabad,CYBERCRIME
2020-01-10 21:00:00,11-01-2020 04:23,Charminar,CYBERCRIME
2020-01-10 22:00:00,11-01-2020 10:13,Falaknuma,FIREARM OFFENSE
2020-01-10 23:00:00,11-01-2020 11:41,Hyderguda,FIREARM OFFENSE
2020-01-11 00:00:00,11-01-2020 00:34,Madhapur,COUNTERFEITING
2020-01-11 01:00:00,11-01-2020 03:03,Basheerbagh,VANDALISM
2020-01-11 02:00:00,11-01-2020 11:51,Patancheru,FRAUD
2020-01-11 03:00:00,11-01-2020 10:11,Kishan Bagh,SEXUAL ASSAULT
2020-01-11 04:00:00,11-01-2020 14:49,Nampally,ROBBERY
2020-01-11 05:00:00,11-01-2020 17:14,Kachiguda,ILLEGAL POSSESSION
2020-01-11 06:00:00,11-01-2020 08:58,Nampally,EXTORTION
2020-01-11 07:00:00,11-01-2020 20:32,Ameerpet,IDENTITY THEFT
2020-01-11 08:00:00,12-01-2020 07:14,Shamshabad,DOMESTIC VIOLENCE
2020-01-11 09:00:00,11-01-2020 21:57,Nampally,EXTORTION
2020-01-11 10:00:00,12-01-2020 02:39,Falaknuma,FIREARM OFFENSE
2020-01-11 11:00:00,11-01-2020 15:11,Shamshabad,SHOPLIFTING
2020-01-11 12:00:00,12-01-2020 01:17,Hyderguda,TRAFFIC VIOLATION
2020-01-11 13:00:00,11-01-2020 15:04,Nacharam,ILLEGAL POSSESSION
2020-01-11 14:00:00,11-01-2020 21:38,Malakpet,FIREARM OFFENSE
2020-01-11 15:00:00,12-01-2020 06:45,Kachiguda,PUBLIC INTOXICATION
2020-01-11 16:00:00,12-01-2020 00:13,Hyderguda,EXTORTION
2020-01-11 17:00:00,11-01-2020 17:21,Ameerpet,IDENTITY THEFT
2020-01-11 18:00:00,11-01-2020 22:11,Madhapur,EXTORTION
2020-01-11 19:00:00,12-01-2020 08:18,Ibrahimpatnam,KIDNAPPING
2020-01-11 20:00:00,12-01-2020 01:13,Charminar,BURGLARY
2020-01-11 21:00:00,12-01-2020 07:49,gachibowli,COUNTERFEITING
2020-01-11 22:00:00,12-01-2020 08:50,Kachiguda,IDENTITY THEFT
2020-01-11 23:00:00,12-01-2020 22:04,Kanchanbagh,SEXUAL ASSAULT
2020-01-12 00:00:00,12-01-2020 19:08,Musheerabad,COUNTERFEITING
2020-01-12 01:00:00,12-01-2020 03:39,Charminar,IDENTITY THEFT
2020-01-12 02:00:00,12-01-2020 08:13,Nampally,ILLEGAL POSSESSION
2020-01-12 03:00:00,12-01-2020 23:31,Kanchanbagh,KIDNAPPING
2020-01-12 04:00:00,12-01-2020 08:35,Saidabad,ROBBERY
2020-01-12 05:00:00,12-01-2020 07:42,Secunderabad,SHOPLIFTING
2020-01-12 06:00:00,12-01-2020 08:31,Ibrahimpatnam,DRUG OFFENSE
2020-01-12 07:00:00,12-01-2020 23:49,Hyderguda,PUBLIC INTOXICATION
2020-01-12 08:00:00,12-01-2020 11:51,Falaknuma,IDENTITY THEFT
2020-01-12 09:00:00,12-01-2020 14:37,Basheerbagh,VEHICLE - STOLEN
2020-01-12 10:00:00,13-01-2020 04:01,Begum Bazar,TRAFFIC VIOLATION
2020-01-12 11:00:00,13-01-2020 06:07,Ameerpet,ASSAULT
2020-01-12 12:00:00,13-01-2020 10:15,Ibrahimpatnam,ASSAULT
2020-01-12 13:00:00,12-01-2020 13:29,Begum Bazar,TRAFFIC VIOLATION
2020-01-12 14:00:00,13-01-2020 04:56,Charminar,TRAFFIC VIOLATION
2020-01-12 15:00:00,13-01-2020 04:19,Lingampally,KIDNAPPING
2020-01-12 16:00:00,13-01-2020 10:14,Secunderabad,FIREARM OFFENSE
2020-01-12 17:00:00,13-01-2020 00:49,Lingampally,FRAUD
2020-01-12 18:00:00,13-01-2020 01:20,Lingampally,BURGLARY
2020-01-12 19:00:00,13-01-2020 03:34,Madhapur,ARSON
2020-01-12 20:00:00,13-01-2020 15:38,Ibrahimpatnam,ASSAULT
2020-01-12 21:00:00,13-01-2020 05:53,Madhapur,SHOPLIFTING
2020-01-12 22:00:00,13-01-2020 16:05,Patancheru,VEHICLE - STOLEN
2020-01-12 23:00:00,13-01-2020 01:39,Basheerbagh,IDENTITY THEFT
2020-01-13 00:00:00,13-01-2020 15:29,Charminar,ILLEGAL POSSESSION
2020-01-13 01:00:00,13-01-2020 10:14,Ameerpet,EXTORTION
2020-01-13 02:00:00,13-01-2020 08:25,Charminar,SHOPLIFTING
2020-01-13 03:00:00,13-01-2020 20:23,Charminar,BURGLARY
2020-01-13 04:00:00,13-01-2020 11:50,Shamshabad,BURGLARY
2020-01-13 05:00:00,13-01-2020 10:55,Charminar,ASSAULT
2020-01-13 06:00:00,13-01-2020 11:43,Basheerbagh,DOMESTIC VIOLENCE
2020-01-13 07:00:00,13-01-2020 13:14,Kachiguda,VANDALISM
2020-01-13 08:00:00,13-01-2020 16:27,Falaknuma,TRAFFIC VIOLATION
2020-01-13 09:00:00,14-01-2020 04:47,Kachiguda,IDENTITY THEFT
2020-01-13 10:00:00,14-01-2020 04:55,Secunderabad,SEXUAL ASSAULT
2020-01-13 11:00:00,14-01-2020 04:57,Nampally,ROBBERY
2020-01-13 12:00:00,14-01-2020 08:43,Jahanuma,IDENTITY THEFT
2020-01-13 13:00:00,14-01-2020 00:49,Charminar,ARSON
2020-01-13 14:00:00,13-01-2020 21:22,Kanchanbagh,DOMESTIC VIOLENCE
2020-01-13 15:00:00,13-01-2020 20:23,Kishan Bagh,PUBLIC INTOXICATION
2020-01-13 16:00:00,13-01-2020 16:47,Patancheru,TRAFFIC VIOLATION
2020-01-13 17:00:00,14-01-2020 07:31,Dilsukhnagar,FIREARM OFFENSE
2020-01-13 18:00:00,13-01-2020 22:40,Kanchanbagh,TRAFFIC VIOLATION
2020-01-13 19:00:00,14-01-2020 07:24,Ibrahimpatnam,COUNTERFEITING
2020-01-13 20:00:00,14-01-2020 17:26,Basheerbagh,SEXUAL ASSAULT
2020-01-13 21:00:00,14-01-2020 16:26,Ameerpet,DOMESTIC VIOLENCE
2020-01-13 22:00:00,14-01-2020 16:21,Falaknuma,DRUG OFFENSE
2020-01-13 23:00:00,14-01-2020 12:22,Kachiguda,ARSON
2020-01-14 00:00:00,14-01-2020 16:05,Basheerbagh,DRUG OFFENSE
2020-01-14 01:00:00,14-01-2020 04:12,Basheerbagh,ASSAULT
2020-01-14 02:00:00,14-01-2020 17:13,Kanchanbagh,BURGLARY
2020-01-14 03:00:00,14-01-2020 19:05,Falaknuma,BURGLARY
2020-01-14 04:00:00,14-01-2020 12:47,Madhapur,DOMESTIC VIOLENCE
2020-01-14 05:00:00,14-01-2020 19:04,Nacharam,COUNTERFEITING
2020-01-14 06:00:00,14-01-2020 13:56,L B Nagar,VANDALISM
2020-01-14 07:00:00,15-01-2020 02:59,Basheerbagh,ARSON
2020-01-14 08:00:00,14-01-2020 17:56,Patancheru,FRAUD
2020-01-14 09:00:00,14-01-2020 15:37,Kachiguda,TRAFFIC VIOLATION
2020-01-14 10:00:00,14-01-2020 21:12,Basheerbagh,ARSON
2020-01-14 11:00:00,14-01-2020 18:59,Madhapur,FRAUD
2020-01-14 12:00:00,14-01-2020 20:43,Basheerbagh,SHOPLIFTING
2020-01-14 13:00:00,15-01-2020 05:46,Musheerabad,VANDALISM
2020-01-14 14:00:00,15-01-2020 12:44,Pathargatti,ROBBERY
2020-01-14 15:00:00,15-01-2020 13:02,Basheerbagh,BURGLARY
2020-01-14 16:00:00,15-01-2020 02:16,Madhapur,ARSON
2020-01-14 17:00:00,15-01-2020 16:31,Saidabad,DRUG OFFENSE
2020-01-14 18:00:00,15-01-2020 13:53,Falaknuma,ARSON
2020-01-14 19:00:00,14-01-2020 21:22,Falaknuma,ILLEGAL POSSESSION
2020-01-14 20:00:00,15-01-2020 07:04,Madhapur,COUNTERFEITING
2020-01-14 21:00:00,15-01-2020 13:22,Hyderguda,VANDALISM
2020-01-14 22:00:00,15-01-2020 21:18,Basheerbagh,SHOPLIFTING
2020-01-14 23:00:00,15-01-2020 20:02,Ameerpet,SHOPLIFTING
2020-01-15 00:00:00,15-01-2020 15:06,Falaknuma,COUNTERFEITING
2020-01-15 01:00:00,15-01-2020 06:07,Dilsukhnagar,SEXUAL ASSAULT
2020-01-15 02:00:00,15-01-2020 10:01,Kanchanbagh,DOMESTIC VIOLENCE
2020-01-15 03:00:00,15-01-2020 17:40,Ameerpet,PUBLIC INTOXICATION
2020-01-15 04:00:00,15-01-2020 16:24,Patancheru,ROBBERY
2020-01-15 05:00:00,16-01-2020 04:41,Falaknuma,KIDNAPPING
